App ID;Name;Short Description;Developer;Publisher;Genre;Tags;Type;Categories;Owners;Positive Reviews;Negative Reviews;Price;Initial Price;Discount;CCU;Languages;Platforms;Release Date;Required Age;Website;Header Image
1000310;人气动漫大乱斗;这是一款动漫呆萌与战斗激情完美交融的卡牌手游。;海南众铖互娱网络科技有限公司;海南众铖互娱网络科技有限公司;Action, RPG, Strategy;RPG: 32, Action: 31, Strategy: 29, Anime: 11, Competitive: 11;game;Multi-player, Single-player, In-App Purchases, Online PvP, PvP;0 .. 20,000;1;5;99;99;0;0;Simplified Chinese;windows;2019/12/17;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000310/header.jpg?t=1576652070
1000360;Hellish Quart;A physics-based, realistic, 3D sword dueling game set in the 17th century. Currently, it features a survival mode, duels vs. AI, wooden weapons sparring, and a local multiplayer mode. Optional VR mode. Early Access.;Kubold;Kubold;Action, Early Access;Early Access: 222, 3D Fighter: 201, Swordplay: 195, Martial Arts: 191, Arcade: 188, Combat: 184, VR: 179, PvP: 178, PvE: 176, Medieval: 171, Physics: 165, Realistic: 159, Third Person: 156, Character Customization: 154, Sports: 145, First-Person: 143, Historical: 130, Action: 116, Fighting: 106, Singleplayer: 100;game;Multi-player, Single-player, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, PvP;200,000 .. 500,000;4031;315;1699;1699;0;59;English, Simplified Chinese;windows;2021/02/16;0;https://www.hellishquart.com;https://cdn.akamai.steamstatic.com/steam/apps/1000360/header.jpg?t=1666020160
1000370;SurReal Subway;It's a Horror game with a subway background. in VR;LFiO Studio;LFiO Studio;Indie;Indie: 22, VR: 14, Horror: 13;game;Single-player;0 .. 20,000;0;1;0;0;0;0;English;windows;2019/01/3;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000370/header.jpg?t=1548594300
1000380;Rogue Reaper;Rogue Reaper is an action-adventure game, taking place at the end of the Dark Ages during the rise of the plague. Trying to relieve her father from his work of managing the massive influx of souls, the daughter of the Grim Reaper sets out on an adventure to find and destroy the cause of the plague.;Fireroot Studios;Fireroot Studios;Action, Adventure, Free to Play, Indie;Free to Play: 57, Action: 52, Indie: 50, Adventure: 47, Parkour: 33, Third Person: 31, Dark Fantasy: 30, Fantasy: 29, Alternate History: 28, Female Protagonist: 26, 3D Platformer: 21;game;Single-player, Steam Achievements;100,000 .. 200,000;309;87;0;0;0;0;English;windows;2019/02/1;0;https://roguereapergame.com/;https://cdn.akamai.steamstatic.com/steam/apps/1000380/header.jpg?t=1572303202
1000410;WRATH: Aeon of Ruin;3D Realms, creators of Duke Nukem 3D, Prey, and Max Payne, presents a hard-core first person shooter, powered by the legendary Quake-1 Tech. Crafted by the hands of Quake-scene necromancers, WRATH is the real deal. You will not survive...;KillPixel;3D Realms, Fulqrum Publishing;Action, Early Access;"Action: 98, FPS: 61, Retro: 60, Gore: 39, Violent: 38, Old School: 28, Early Access: 25, First-Person: 18, Horror: 16, Arena Shooter: 15, Shooter: 15, Singleplayer: 9, ""1990s"": 8, Atmospheric: 7";game;Single-player;20,000 .. 50,000;1212;328;2499;2499;0;6;English;windows;2019/11/22;0;http://www.wrath.game;https://cdn.akamai.steamstatic.com/steam/apps/1000410/header.jpg?t=1666350815
1000470;Drawngeon: Dungeons of Ink and Paper;Inkland - the hand-drawn unusual world. Reveal the secret of the Mysterious Tower in this old-school role-playing game with a first-person perspective, real-time combat and grid-based movement.;DarkDes Labs;DarkDes Labs;Adventure, Indie, RPG;RPG: 165, Adventure: 158, Indie: 155, Grid-Based Movement: 154, First-Person: 150, Hand-drawn: 142, Procedural Generation: 140, Exploration: 133, Atmospheric: 131, Underground: 124, Dungeon Crawler: 117, Singleplayer: 105, Mystery Dungeon: 100, Fantasy: 96, Rogue-lite: 91, Stylized: 87, Retro: 81, Loot: 77, Inventory Management: 74, Perma Death: 66;game;Single-player, Steam Achievements, Steam Cloud, Full controller support;20,000 .. 50,000;55;13;499;499;0;0;English, Russian, French, German, Spanish - Spain;windows;2019/05/24;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000470/header.jpg?t=1630256139
1000480;Battle Motion;Single-player action game with massive fantasy battles, that using non-target directional combat system. Fight non-stop battles with many units, game modes, different classes, weapons!;Meadow Games;Meadow Games;Action, Indie, RPG, Simulation, Early Access;Early Access: 36, Action: 32, Simulation: 32, Indie: 30, RPG: 28, Medieval: 14, Swordplay: 12, Competitive: 11, Difficult: 11, Fantasy: 11, Hack and Slash: 11, Management: 11, Physics: 11, Funny: 10, Games Workshop: 10, Moddable: 10, Realistic: 10, Replay Value: 10, Third Person: 10, Mod: 9;game;Single-player;0 .. 20,000;9;6;999;999;0;0;English;windows, mac, linux;2019/02/4;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000480/header.jpg?t=1550958977
1000500;The Undisputables : Online Multiplayer Shooter;The Undisputables : Online Multiplayer is a PvP online multiplayer TPS shooter game with fantastic comic cartoon 3D graphics and captivating gameplay.;Amonga99;Amonga99;Action, Casual, Indie, Massively Multiplayer;Multiplayer: 312, Shooter: 306, Third-Person Shooter: 304, Action: 298, Third Person: 293, PvP: 284, Controller: 278, Competitive: 275, Tactical: 270, Hero Shooter: 264, Co-op: 256, Team-Based: 248, Online Co-Op: 239, FPS: 232, Battle Royale: 231, First-Person: 221, Military: 219, War: 209, Cartoon: 207, Funny: 202;game;Multi-player, Single-player, Co-op, Steam Achievements, Steam Leaderboards, Cross-Platform Multiplayer, Full controller support, Online PvP, Online Co-op, PvP;100,000 .. 200,000;9;3;699;699;0;0;English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese;windows, mac, linux;2021/12/5;0;https://amonga99.com;https://cdn.akamai.steamstatic.com/steam/apps/1000500/header.jpg?t=1667404497
1000510;The Marvellous Machine;The Marvellous Machine is a fifteen minute narrated journey in VR that lets you explore the inner workings of your mind and experience new perspectives.;1337 Game Design;1337 Game Design;Education;Education: 21, VR: 13, Experience: 11, Narration: 11;game;;20,000 .. 50,000;104;21;0;0;0;0;English;windows;2019/02/11;0;https://www.1337gamedesign.com/tmm.html;https://cdn.akamai.steamstatic.com/steam/apps/1000510/header.jpg?t=1585924880
1000540;Tactical Control;Tactical Control: the 7-minute wargame. Simplified strategy with minimalist graphics and quick, intense games. Play short matches against random opponents. Fight tense battles of stealth, anticipation and surprise. Win with strategy, deception and cleverness, not with reflexes and clicking speed.;Hellride Games;Hellride Games;Casual, Free to Play, Indie, Strategy;Casual: 26, Free to Play: 24, Indie: 21, Strategy: 21, Multiplayer: 5;game;Multi-player, Stats, Steam Achievements, Online PvP, PvP;20,000 .. 50,000;53;12;0;0;0;0;English;windows;2019/03/21;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000540/header.jpg?t=1553210986
1000550;Love Hentai: Endgame;Part of the journey is the end;CSM;W.T.B.;Casual, Indie;;game;Single-player, Steam Achievements;0 .. 20,000;0;0;99;99;0;0;English, German, Vietnamese, Traditional Chinese, Simplified Chinese, Korean, Russian, Ukrainian, Japanese;windows;2019/02/20;0;;https://cdn.akamai.steamstatic.com/steam/apps/1000550/header.jpg?t=1561710163
